名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
星格舞艺,体育休闲服务,运动场馆,健身中心,创业路现代城华庭4栋27A室,广东省,深圳市,南山区,113.9204858,22.52024135
加糖运动(创业路店),体育休闲服务,运动场馆,健身中心,创业路2052-34南山茶叶城1层,广东省,深圳市,南山区,113.9254423,22.51811566
一兆韦德健身(南山保利店),体育休闲服务,运动场馆,健身中心,南海大道与海德一道交汇处保利城花园2楼,广东省,深圳市,南山区,113.9232385,22.5196143
启航健身会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,人人乐百货四楼,广东省,深圳市,南山区,113.9191743,22.52006669
中田健身,体育休闲服务,体育休闲服务场所,体育休闲服务场所,南光路28号现代城华庭5栋19A,广东省,深圳市,南山区,113.9194262,22.52036243
2ESC真人密室逃脱(海王大厦店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,南海大道2221号海王大厦B座23B室(海雅百货斜对面、海诚大酒楼对面),广东省,深圳市,南山区,113.9212046,22.51906962
正途武馆(儿童世界分馆),体育休闲服务,体育休闲服务场所,体育休闲服务场所,南海大道2722号七彩儿童世界二楼(海雅百货),广东省,深圳市,南山区,113.924166,22.52004018
跆拳道正道馆,体育休闲服务,运动场馆,跆拳道场馆,"南油南海大道2239号新能源大厦B座四楼409(海王大厦,南山书城)",广东省,深圳市,南山区,113.9221151,22.5193926
盛典,体育休闲服务,体育休闲服务场所,体育休闲服务场所,南油第二工业区203栋1楼,广东省,深圳市,南山区,113.9189508,22.5137541
快快乐动智能健身(南山保利大厦店),体育休闲服务,运动场馆,健身中心,南海大道2702号保利大厦1层,广东省,深圳市,南山区,113.9228768,22.51841576
优+健身游泳俱乐部,体育休闲服务,运动场馆,健身中心,创业路28号现代城华庭4层,广东省,深圳市,南山区,113.9198321,22.51999203
璀璨明珠健身房,体育休闲服务,运动场馆,运动场所,亿利达大厦6楼,广东省,深圳市,南山区,113.9174359,22.52028935
音乐盒各一,体育休闲服务,体育休闲服务场所,体育休闲服务场所,创业路海岸明珠B栋6B,广东省,深圳市,南山区,113.9265655,22.51946116
天下客健身中心,体育休闲服务,运动场馆,健身中心,创业路3097号6楼(亿利达大厦),广东省,深圳市,南山区,113.9178358,22.52035797
DINA,体育休闲服务,运动场馆,健身中心,创业路3070号人人乐百货F2,广东省,深圳市,南山区,113.9198401,22.51999602
武术跆拳道,体育休闲服务,运动场馆,跆拳道场馆,华明路与建南路交叉口西南50米,广东省,深圳市,南山区,113.9215299,22.51096848
